Location,Updated,WaitTimeInSeconds
AF2,2023-07-11T21:25:00,382
AF3,2023-07-11T21:25:00,60
EF-T,2023-07-11T21:25:00,60
GH-T,2023-07-11T21:25:00,60
NS-S,2023-07-11T21:25:00,90
S-NS,2023-07-11T21:25:00,60
VF0,2023-07-11T21:25:00,60
VF1,2023-07-11T21:25:00,158
VF2,2023-07-11T21:26:00,60
VF3,2023-07-11T21:25:00,178
VF4,2023-07-11T21:25:00,60
VH3,2023-07-11T21:25:00,60
AF2,2023-07-11T21:33:00,680
AF3,2023-07-11T21:33:00,102
EF-T,2023-07-11T21:33:00,60
GH-T,2023-07-11T21:33:00,60
NS-S,2023-07-11T21:33:00,60
S-NS,2023-07-11T21:33:00,60
VF0,2023-07-11T21:33:00,60
VF1,2023-07-11T21:33:00,144
VF2,2023-07-11T21:33:00,60
VF3,2023-07-11T21:33:00,67
VF4,2023-07-11T21:33:00,60
VH3,2023-07-11T21:33:00,60
AF2,2023-07-11T21:37:00,1398
AF3,2023-07-11T21:37:00,89
EF-T,2023-07-11T21:37:00,60
GH-T,2023-07-11T21:37:00,60
NS-S,2023-07-11T21:37:00,60
S-NS,2023-07-11T21:37:00,60
VF0,2023-07-11T21:37:00,60
VF1,2023-07-11T21:37:00,144
VF2,2023-07-11T21:37:00,60
VF3,2023-07-11T21:37:00,94
VF4,2023-07-11T21:37:00,66
VH3,2023-07-11T21:37:00,60
